,TCGA AUC
0,0.741490581194884
1,0.6904205291139013
2,0.723176488640569
3,0.7312278294776557
4,0.7125256117484587
5,0.6796342597189251
6,0.756185180839253
7,0.6915217214705431
8,0.7254240041881415
9,0.6984628437841301
10,0.7440359602487611
11,0.6905378692830515
12,0.703607758893031
13,0.7061441117800503
14,0.6818276182653512
15,0.708256234824757
16,0.7254871873561455
17,0.6235817635324807
18,0.7229688868028414
19,0.6941483360261398
20,0.6925507044923231
21,0.7272292375596856
22,0.6939046295209813
23,0.7140510339474134
24,0.6432768596160269
25,0.7273826823962668
26,0.7307765211347698
27,0.6827302349511233
28,0.7145564992914459
29,0.7287366074249249
30,0.7248734080098205
31,0.7286463457563477
32,0.7259475218658892
33,0.7236097446497396
34,0.6890214732509545
35,0.7057469604383106
36,0.6809791585807256
37,0.660164817806822
38,0.7641913908420511
39,0.7298197474478514
40,0.7305959977976154
41,0.7054310445982905
42,0.7466445224706424
43,0.7309119136376354
44,0.6724855355676105
45,0.7481879970033127
46,0.7191959490563142
47,0.7307765211347698
48,0.721596909440468
49,0.7117222828981217
50,0.6824052929442455
51,0.7114063670581015
52,0.7373656229409058
53,0.6973526252606306
54,0.7488108025164953
55,0.7121645650741499
56,0.7111265558855121
57,0.6895269385949869
58,0.7061621641137658
59,0.7068481527949524
60,0.7221384794519311
61,0.7165783606675753
62,0.693399164176949
63,0.7194035508940418
64,0.6860338120210491
65,0.723050122304561
66,0.7226710232965368
67,0.7250539313469748
68,0.6452355378241523
69,0.6639377555533491
70,0.7476915578261379
71,0.7106301167083375
72,0.7172824016824777
73,0.6964951394091472
74,0.7118125445666988
75,0.736354692252841
76,0.6727472944064845
77,0.6500825894267481
78,0.6757800864706784
79,0.721560804773037
80,0.7119750155701379
81,0.7294857792741157
82,0.7055574109342985
83,0.7238624773217559
84,0.6749587052866259
85,0.6606070999828504
86,0.742266831544648
87,0.721822563611911
88,0.7030120318804214
89,0.671600971215554
90,0.7263898040419174
91,0.7128956845896253
92,0.7009721181705765
93,0.735677729738512
94,0.7199541470723627
95,0.6804736932366933
96,0.7065322369549324
97,0.6542617046818727
98,0.6923792073220265
99,0.7211636534312973
mean,0.7081336594788289
